,_id,product,material,details,media,specifications,packagingDetails,documents
117,MDPMDR167028X17,"{'productId': 'Z05-PF69556', 'details': {'longDescription': '<ul><li> Stainless steel construction with 3"" whisper-glide casters</li><li> Trendelenburg may be created from either side of basket </li><li> Dimensions: 31L x 17-1/2W x 37-3/4""H </li><li> Extender shelf option available (MDR7028EX)</li><li> Basket and mattress not included</li></ul>', 'displayName': 'Stainless Steel Bassinets', 'url': '/product/Stainless-Steel-Bassinets/Bassinets/Z05-PF69556', 'manufacturer': 'NOVUM MEDICAL PRODUCTS'}}",MDR167028X17,"{'mfrProdNum': 'NB-SSXD', 'salesUOM': 'EA', 'displayName': 'Standard Bassinet with Drawer', 'description': 'BASSINET W/DRAWER, SHELF, CASTERS  Bringing You Closer To Home is a registered trademark of Medline Industries, Inc.', 'packagingStringLong': '1 Each / Each', 'hcpcsCode': 'NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS', 'url': '/sku/item/MDPMDR167028X17', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'NOVUM MEDICAL PRODUCTS', 'packagingStringShort': '1 EA'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/MDR/MDR167028X17_PRI05.JPG'}]","[{'name': 'Latex Free', 'value': ['No']}, {'name': 'Material', 'value': ['Stainless Steel']}, {'name': 'Number of Drawers', 'value': ['1']}, {'name': 'Portable', 'value': ['Yes']}, {'name': 'Shelves', 'value': ['1']}, {'name': 'UNSPSC', 'value': ['56101500']}, {'name': 'Wheels Included', 'value': ['Yes']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 45, 'casePack': '1 Each / Each', 'volume': 50, 'grossWeight': 125, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 40, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 48}]","[{'name': 'LITRETIRED LIT - 701R_CAT_Capital Eq.pdf', 'type': 'marketing', 'url': 'https://www.medline.com/media/catalog/Docs/MKT/LITRETIRED LIT - 701R_CAT_Capital Eq.pdf'}]"
118,MDPCFU2812F10,"{'productId': 'Z05-PF57002', 'details': {'longDescription': '<ul><li> Permanent barrier separates nasal prongs for simultaneous O2 inhalation and end-tidal gas sampling </li><li> Can deliver O2 to one nostril while sampling CO2 from the other for more accurate ETCO2 readings</li><li> Crush-resistant tubing prevents occlusion and kinking</li><li> Clear to allow unobstructed observation</li><li> Soft for patient comfort</li></ul>', 'displayName': 'Vyaire AirLife ETCO2 Sampling Cannulas', 'url': '/product/Vyaire-AirLife-ETCO2-Sampling-Cannulas/Cannulas-Tubing/Z05-PF57002', 'manufacturer': 'VYAIRE MEDICAL, INC.'}}",CFU2812F10,"{'isLatexFree': True, 'mfrProdNum': '2812F-10', 'salesUOM': 'CS', 'displayName': ""Female ETCO2 Cannula, 7'"", 'packagingStringLong': '10 Each / Case', 'hcpcsCode': 'NO GOVERNMENT OR SUPPLIER HCPCS CODE VERIFICATION', 'url': '/sku/item/MDPCFU2812F10', 'baseUOM': 'EA', 'deliveryUOM': 'CS', 'manufacturer': 'VYAIRE MEDICAL, INC.', 'packagingStringShort': '10/CS'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/CFU/CFU2812F10_PRI02.JPG'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['42271709']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 3.684, 'casePack': '10 Each / Case', 'volume': 0.029, 'grossWeight': 0.2, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 3.684, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 3.684}, {'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 8.5, 'casePack': '', 'volume': 0.262, 'grossWeight': 2.1, 'netWeight': 0, 'uom': 'CS', 'salesUom': True, 'width': 8.2, 'gtinAndUpc': '50885403184589', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 10, 'height': 6.5}]",
119,MDPBDR11010W,"{'productId': 'Z05-PF139418', 'details': {'longDescription': '<ul><li> Solid construction and careful craftsmanship help ensure instruments come out surgery-ready</li><li> Compatible with steam pre-vacuum </li><li> Aluminum lid </li><li> Color coding system available; contact your Medline sales representative for more information</li></ul>', 'displayName': 'Full-Size SteriPure Sterilization Containers', 'url': '/product/Full-Size-SteriPure-Sterilization-Containers/Sterilization-Containers/Z05-PF139418', 'manufacturer': 'MEDLINE'}}",BDR11010W,"{'isLatexFree': True, 'mfrProdNum': 'BDR11010W', 'salesUOM': 'EA', 'displayName': 'Container, Full Size, 4""', 'packagingStringLong': '1 Each / Each', 'hcpcsCode': 'NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS', 'url': '/sku/item/MDPBDR11010W', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'MEDLINE', 'packagingStringShort': '1 EA'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/BDR/BDR11010W_PRI01.JPG'}]","[{'name': 'Color', 'value': ['Silver']}, {'name': 'Handle Color', 'value': ['Grey']}, {'name': 'Instrument Family', 'value': ['Steripure']}, {'name': 'Latex Free', 'value': ['Yes']}, {'name': 'Material', 'value': ['Aluminum']}, {'name': 'Product Name', 'value': ['Steripure Container']}, {'name': 'Product Use', 'value': ['Steam Sterilization']}, {'name': 'Type of Instrument', 'value': ['Container']}, {'name': 'UNSPSC', 'value': ['42281509']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 6.9, 'casePack': '1 Each / Each', 'volume': 1.208, 'grossWeight': 8.45, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 12.5, 'gtinAndUpc': '10888277410527', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 24.2}]","[{'name': 'LIT259_BRO_Filtered Container System.pdf', 'type': 'marketing', 'url': 'https://www.medline.com/media/catalog/Docs/MKT/LIT259_BRO_Filtered Container System.pdf'}]"
120,MDPMSC326100Z,"{'productId': 'Z05-PF01392', 'details': {'longDescription': '<ul><li> Elastic leg gathers help prevent leaks</li><li> Superabsorbent core helps keep moisture away from skin and controls odor</li><li> Adhesive strip helps to secure pad inside underwear</li><li> Individually wrapped for convenience</li><li> Available in light (2-3/4"" x 9-3/4""), moderate (3"" x 10-1/2"") and maximum (3-1/4"" x 13"") absorbencies</li></ul>', 'displayName': 'Bladder Control Pads', 'url': '/product/Bladder-Control-Pads/Bladder-Control-Pads/Z05-PF01392', 'manufacturer': 'MEDLINE'}}",MSC326100Z,"{'isLatexFree': True, 'mfrProdNum': 'MSC326100', 'salesUOM': 'BG', 'displayName': 'Bladder Control Pads for Incontinence, Moderate, 3"" x 10.5""', 'description': 'Capri Bladder Control Pads - Extra Plus, 3&quot; x 10.5&quot;', 'packagingStringLong': '16 Each / 1 Pack / 1 box / Bag', 'hcpcsCode': 'NOT COVERED BY MEDICARE - CHECK REIMBURSEMENT WITH MEDICAID', 'url': '/sku/item/MDPMSC326100Z', 'baseUOM': 'EA', 'deliveryUOM': 'BG', 'manufacturer': 'MEDLINE', 'packagingStringShort': '16/BG'}","[{'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC326100Z_HRE06.JPG'}, {'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC326100Z_HRE07.JPG'}, {'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC326100Z_HRE10.JPG'}, {'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC326100Z_HRE11.JPG'}]","[{'name': 'Absorbency', 'value': ['3 of 10']}, {'name': 'Absorbency Level', 'value': ['3 of 10']}, {'name': 'Adhesive Strip', 'value': ['Yes']}, {'name': 'Bag Appearance', 'value': ['Printed']}, {'name': 'Latex Free', 'value': ['Yes']}, {'name': 'Reusable or Disposable', 'value': ['Disposable']}, {'name': 'Size Dimensions', 'value': ['3"" X 10.5""']}, {'name': 'UNSPSC', 'value': ['53131639']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 2.371, 'casePack': '16 Each / Bag', 'volume': 0.008, 'grossWeight': 0.049, 'netWeight': 0.001, 'uom': 'EA', 'salesUom': False, 'width': 2.371, 'gtinAndUpc': '10080196759651', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 2.371}, {'baseUomDesc': 'Each', 'uomDesc': 'Bag', 'length': 7.5, 'casePack': '', 'volume': 0.123, 'grossWeight': 0.788, 'netWeight': 0.016, 'uom': 'BG', 'salesUom': True, 'width': 3.6, 'gtinAndUpc': '80196759654', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 16, 'height': 7.9}, {'baseUomDesc': 'Each', 'uomDesc': 'box', 'length': 10, 'casePack': '1 box / Bag', 'volume': 0.162, 'grossWeight': 0.788, 'netWeight': 0.016, 'uom': 'BX', 'salesUom': False, 'width': 4, 'gtinAndUpc': '80196759654', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 16, 'height': 7}, {'baseUomDesc': 'Each', 'uomDesc': 'Pack', 'length': 7.5, 'casePack': '1 Pack / Bag', 'volume': 0.123, 'grossWeight': 0.788, 'netWeight': 0.016, 'uom': 'PK', 'salesUom': False, 'width': 3.6, 'gtinAndUpc': '80196759654', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 16, 'height': 7.9}, {'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 21, 'casePack': '1 Bag / Bag', 'volume': 1.1360000000000001, 'grossWeight': 8.55, 'netWeight': 0.14400000000000002, 'uom': 'CS', 'salesUom': False, 'width': 8.5, 'gtinAndUpc': '40080196759652', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 144, 'height': 11}]",
121,MDPHWP803204481,"{'productId': 'Z05-PF281147', 'details': {'displayName': 'Microstream Capnoline by Philips', 'url': '/product/Microstream-Capnoline-by-Philips/Monitored-Anesthesia-Care/Z05-PF281147', 'manufacturer': 'ROYAL PHILIPS'}}",HWP803204481,"{'isLatexFree': True, 'mfrProdNum': '989803204481', 'salesUOM': 'BX', 'displayName': 'CAPNOGRAPHY,ADULT,NASA,CO2,LINE W/O2', 'packagingStringLong': '25 Each / box', 'url': '/sku/item/MDPHWP803204481', 'baseUOM': 'EA', 'deliveryUOM': 'BX', 'manufacturer': 'ROYAL PHILIPS', 'packagingStringShort': '25/BX'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/spc/300x300/HWP803204481.jpg'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['42271709']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 0.001, 'casePack': '25 Each / box', 'volume': 0, 'grossWeight': 0.2, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 0.001, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 0.001}, {'baseUomDesc': 'Each', 'uomDesc': 'box', 'length': 12, 'casePack': '', 'volume': 0.5, 'grossWeight': 5, 'netWeight': 0, 'uom': 'BX', 'salesUom': True, 'width': 9, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 25, 'height': 8}]",
122,MDPCAQSC04LG,"{'productId': 'Z05-PF153361', 'details': {'longDescription': '<ul><li> All SteriTite container systems include covers with integrated filtration systems and silicone gaskets</li><li> Solid bottom containers are compatible with pre-vacuum sterilizers</li><li> Perforated bottom sealed containers are universal and have filtration systems in their base, cleared for all current sterilization modalities such as gravity displacement, pre-vacuum steam, V-Pro and Sterrad Sterilization</li><li> Use with the respective basket or tray system</li><li> Solid Bottom: Solid Bottom with 2 filter retention</li></ul>', 'displayName': 'Long and Wide Sealed Containers', 'url': '/product/Long-and-Wide-Sealed-Containers/Containers-Trays/Z05-PF153361', 'manufacturer': 'CASE MEDICAL INC.'}}",CAQSC04LG,"{'isLatexFree': True, 'mfrProdNum': 'SC04LG', 'salesUOM': 'EA', 'displayName': 'SteriTite Universal Sealed Container, Long Size, Perforated Bottom with Lid, 27"" x 11"" x 4""', 'packagingStringLong': '1 Each / Each', 'hcpcsCode': 'NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS', 'url': '/sku/item/MDPCAQSC04LG', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'CASE MEDICAL INC.', 'packagingStringShort': '1 EA'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/CAQ/CAQSC04LG_PRI01.JPG'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['42281509']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 27, 'casePack': '1 Each / Each', 'volume': 0.6880000000000001, 'grossWeight': 10.21, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 11, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 4}]",
123,MDPKST27717DZBD,"{'productId': 'Z05-PF132596', 'details': {'longDescription': '<ul><li> Single- and multilevel containers for instrument storage and sterilization</li><li> Made of plastic with transparent lids</li></ul>', 'displayName': 'Karl Storz Storage/Sterilization Containers', 'url': '/product/Karl-Storz-Storage/Sterilization-Containers/Sterilization-Containers/Z05-PF132596', 'manufacturer': 'KARL STORZ ENDOSCOPY'}}",KST27717DZBD,"{'isLatexFree': True, 'mfrProdNum': 'KSZ-27717D-ZBD', 'salesUOM': 'EA', 'displayName': 'Container System For Clickline, Instruments To 43cm. 27"" x 11"" x 8""', 'packagingStringLong': '1 Each / Each', 'url': '/sku/item/MDPKST27717DZBD', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'KARL STORZ ENDOSCOPY', 'packagingStringShort': '1 EA'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/spc/300x300/KST27717DZBD.jpg'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['24110000']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 10.35, 'casePack': '1 Each / Each', 'volume': 0.114, 'grossWeight': 2.2, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 7.35, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 2.58}]",
124,MDPSHE704001110,"{'productId': 'Z05-PF46834', 'details': {'longDescription': 'Adult Spacelabs Healthcare CO2 ORAL/NASAL CANNULA W /O2.', 'displayName': 'Nasal CO2 Cannulas', 'url': '/product/Nasal-CO2-Cannulas/Cannulas-Tubing/Z05-PF46834', 'manufacturer': 'Various Manufacturers / Suppliers'}}",SHE704001110,"{'isLatexFree': True, 'mfrProdNum': '704-0011-10', 'salesUOM': 'BX', 'displayName': 'CANNULA,NASAL,INFANT,C02,RS', 'packagingStringLong': '10 Each / box', 'url': '/sku/item/MDPSHE704001110', 'baseUOM': 'EA', 'deliveryUOM': 'BX', 'manufacturer': 'SPACELABS HEALTHCARE LLC', 'packagingStringShort': '10/BX'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/spc/300x300/SHE704001110.jpg'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['42271709']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 0.001, 'casePack': '10 Each / box', 'volume': 0, 'grossWeight': 0.075, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 0.001, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 0.001}, {'baseUomDesc': 'Each', 'uomDesc': 'box', 'length': 8.8, 'casePack': '', 'volume': 0.12, 'grossWeight': 0.75, 'netWeight': 0, 'uom': 'BX', 'salesUom': True, 'width': 5.6, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 10, 'height': 4.2}]",
125,MDPMSC9303EPH,"{'productId': 'Z05-PF00181', 'details': {'longDescription': '<ul><li> Gel with ionic silver technology for sustained antimicrobial protection</li><li> Advanced fluid handling capable of donating or absorbing moisture</li><li> Nonstaining and gentle to healthy tissue</li><li> Viscous formulation remains in place in the wound up to three days</li></ul>', 'displayName': 'SilvaSorb Silver Antimicrobial Wound Gel', 'url': '/product/SilvaSorb-Silver-Antimicrobial-Wound-Gel/Antimicrobial-Gel/Z05-PF00181', 'manufacturer': 'MEDLINE'}}",MSC9303EPH,"{'isLatexFree': True, 'mfrProdNum': 'MSC9303EP', 'salesUOM': 'EA', 'displayName': 'SilvaSorb Silver Antimicrobial Wound Gel, Educational Packaging, 3 oz.', 'packagingStringLong': '1 Each / Each', 'hcpcsCode': 'A6248', 'url': '/sku/item/MDPMSC9303EPH', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'MEDLINE', 'packagingStringShort': '1 EA'}","[{'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MSC/MSC9303EPH_HRE01.JPG'}, {'type': 'video', 'url': 'https://www.medline.comhttp://player.vimeo.com/video/123862919'}, {'type': 'video', 'url': 'https://www.medline.comhttps://player.vimeo.com/video/519785773'}]","[{'name': 'Dressing Change Frequency/Use', 'value': ['Max: 3 Day: As Needed']}, {'name': 'Dressing Type', 'value': ['Gel']}, {'name': 'Latex Free', 'value': ['Yes']}, {'name': 'Primary or Secondary Dressing', 'value': ['Primary Dress']}, {'name': 'Size Ounces', 'value': ['3 oz']}, {'name': 'Sterile', 'value': ['No']}, {'name': 'UNSPSC', 'value': ['42311540']}, {'name': 'Wound Condition Type', 'value': ['Shallow/Deep,All Drainage Type']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 2.7880000000000003, 'casePack': '', 'volume': 0.013000000000000001, 'grossWeight': 0.264, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 2.787, 'gtinAndUpc': '10080196296545', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 2.787}, {'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 5.5, 'casePack': '1 Each / Each', 'volume': 0.15, 'grossWeight': 3.2, 'netWeight': 0, 'uom': 'CS', 'salesUom': False, 'width': 7, 'gtinAndUpc': '40080196296546', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 12, 'height': 6.75}]","[{'name': 'MSD_SDS0030.pdf', 'type': 'materialSafetyData', 'url': 'https://www.medline.com/media/catalog/Docs/MSDS/MSD_SDS0030.pdf'}, {'name': 'PDAC Letter - 81581841 - CODING VERI.pdf', 'type': 'hcpcs', 'url': 'https://www.medline.com/media/catalog/Docs/HCPCS/PDAC Letter - 81581841 - CODING VERI.pdf'}]"
126,MDPMDS191099B,"{'productId': 'Z05-PF00319', 'details': {'longDescription': '<ul><li> Available in a variety of sizes</li><li> Wall mountable, horizontal or vertical</li><li> Mounting hardware not included</li><li> Medline logo on outer finish</li></ul>', 'displayName': 'Horizontal- or Vertical-Mount Clear Plastic Glove Dispensers', 'url': '/product/Horizontal-or-Vertical-Mount-Clear-Plastic-Glove-Dispensers/Dispensers/Z05-PF00319', 'manufacturer': 'MEDLINE'}}",MDS191099B,"{'isLatexFree': True, 'mfrProdNum': 'MDS191099B', 'salesUOM': 'CS', 'displayName': 'Plastic Single Glove Box Holder, 100-Count Box Compatible', 'packagingStringLong': '12 Each / Case', 'url': '/sku/item/MDPMDS191099B', 'baseUOM': 'EA', 'deliveryUOM': 'CS', 'manufacturer': 'MEDLINE', 'packagingStringShort': '12/CS'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/MDS/MDS191099B_PRI01.JPG'}, {'type': 'imageAlternate', 'url': 'https://www.medline.com/media/catalog/sku/MDS/MDS191099B_HRE02.JPG'}]","[{'name': 'Dispenser Type', 'value': ['Glove']}, {'name': 'Holding Qty', 'value': ['Single']}, {'name': 'Latex Free', 'value': ['Yes']}, {'name': 'Material', 'value': ['PetG Plastic']}, {'name': 'UNSPSC', 'value': ['42132201']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 0, 'casePack': '12 Each / Case', 'volume': 0, 'grossWeight': 0.001, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 0, 'gtinAndUpc': '10888277675117', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 0}, {'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 0.001, 'casePack': '', 'volume': 0, 'grossWeight': 0.001, 'netWeight': 0, 'uom': 'CS', 'salesUom': True, 'width': 0.001, 'gtinAndUpc': '20888277675114', 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 12, 'height': 0.001}]",
127,MDPNER93000,"{'productId': 'Z05-PF181731', 'details': {'longDescription': '<ul><li> Non-toxic, biofilm-disruption Xbio technology to deconstruct bacterial biofilm EPS matrix</li><li> Reduces likelihood of recolonization while maintaining most environment</li></ul>', 'displayName': 'BlastX Antimicrobial Wound Gel', 'url': '/product/BlastX-Antimicrobial-Wound-Gel/Antimicrobial-Gel/Z05-PF181731', 'manufacturer': 'NEXT SCIENCE'}}",NER93000,"{'isLatexFree': True, 'mfrProdNum': 'MC-WG-0001-12', 'salesUOM': 'CS', 'displayName': 'BlastX Wound Gel, 1 oz.', 'packagingStringLong': '12 Each / Case', 'url': '/sku/item/MDPNER93000', 'baseUOM': 'EA', 'deliveryUOM': 'CS', 'manufacturer': 'NEXT SCIENCE', 'packagingStringShort': '12/CS'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/NER/NER93000_PRI01.JPG'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['42312313']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 0.001, 'casePack': '12 Each / Case', 'volume': 0, 'grossWeight': 0.442, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 0.001, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 0.001}, {'baseUomDesc': 'Each', 'uomDesc': 'Case', 'length': 7.6, 'casePack': '', 'volume': 0.183, 'grossWeight': 5.304, 'netWeight': 0, 'uom': 'CS', 'salesUom': True, 'width': 6.6, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 12, 'height': 6.3}]","[{'name': 'MSD_SDSD93507.pdf', 'type': 'materialSafetyData', 'url': 'https://www.medline.com/media/catalog/Docs/MSDS/MSD_SDSD93507.pdf'}]"
128,MDPCAQSC06QGV,"{'productId': 'Z05-PF153265', 'details': {'longDescription': '<ul><li> For safe and effective, closed immediate-use steam sterilization</li><li> May be used for gravity displacement and pre-vacuum steam immediate-use sterilization</li></ul>', 'displayName': 'FlashTite Containers', 'url': '/product/FlashTite-Containers/Containers-Trays/Z05-PF153265', 'manufacturer': 'CASE MEDICAL INC.'}}",CAQSC06QGV,"{'isLatexFree': True, 'mfrProdNum': 'SC06QGV', 'salesUOM': 'EA', 'displayName': 'FlashTite Container with Lid, Mid Size, 6"" H', 'packagingStringLong': '1 Each / Each', 'hcpcsCode': 'NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS', 'url': '/sku/item/MDPCAQSC06QGV', 'baseUOM': 'EA', 'deliveryUOM': 'EA', 'manufacturer': 'CASE MEDICAL INC.', 'packagingStringShort': '1 EA'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/catalog/sku/CAQ/CAQSC06QGV_PRI01.JPG'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['42281509']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 22, 'casePack': '1 Each / Each', 'volume': 2.037, 'grossWeight': 9.5, 'netWeight': 0, 'uom': 'EA', 'salesUom': True, 'width': 16, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 10}]",
129,MDPFLX010685U,"{'productId': 'Z05-PF125917', 'details': {'longDescription': ""<ul><li> For use during critical situations when monitoring of EtCO2 is required</li><li> Can be used with a resuscitator bag for intubated patients or with anesthesia masks</li><li>Hydrophobic filter protects monitor from condensation and cross-contamination risks</li><li> 22/15 mm universal connectors can be used with ET tubes or anesthesia masks; 10' line enables clinicians to easily connect the patient to the monitor, even from a distance</li><li>Pre-assembled fixed line saves time and reduces the risk of misassembly and delays in critical clinical situations</li></ul>"", 'displayName': 'FlexiCare CapnoCare CO2 Sampling Device Connector', 'url': '/product/FlexiCare-CapnoCare-CO2-Sampling-Device-Connector/Monitored-Anesthesia-Care/Z05-PF125917', 'manufacturer': 'FLEXICARE'}}",FLX010685U,"{'isLatexFree': True, 'mfrProdNum': '010-685U', 'salesUOM': 'BX', 'displayName': 'CONNECTOR,FLEXIBLE', 'packagingStringLong': '25 Each / box', 'url': '/sku/item/MDPFLX010685U', 'baseUOM': 'EA', 'deliveryUOM': 'BX', 'manufacturer': 'FLEXICARE', 'packagingStringShort': '25/BX'}","[{'type': 'imagePrimary', 'url': 'https://www.medline.com/media/spc/300x300/FLX010685U.jpg'}]","[{'name': 'Latex Free', 'value': ['Yes']}, {'name': 'UNSPSC', 'value': ['42272224']}]","[{'baseUomDesc': 'Each', 'uomDesc': 'Each', 'length': 0.001, 'casePack': '25 Each / box', 'volume': 0, 'grossWeight': 0.16, 'netWeight': 0, 'uom': 'EA', 'salesUom': False, 'width': 0.001, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 1, 'height': 0.001}, {'baseUomDesc': 'Each', 'uomDesc': 'box', 'length': 14, 'casePack': '', 'volume': 0.681, 'grossWeight': 4, 'netWeight': 0, 'uom': 'BX', 'salesUom': True, 'width': 14, 'gtinAndUpc': None, 'weightUom': 'LB', 'volumeUom': 'FT3', 'conversion': 25, 'height': 6}]",
